threshold_A,n_structures,native_mean_clashes,relaxed_mean_clashes,native_frac_with_any,relaxed_frac_with_any,reduction_fold
0.025,20000,0.0,0.0,0.0,0.0,
0.05,20000,5e-05,0.0,5e-05,0.0,
0.075,20000,0.00025,0.0001,0.00025,0.0001,2.5
0.1,20000,0.0007,0.0002,0.0007,0.0002,3.5
0.125,20000,0.00125,0.0003,0.00125,0.0003,4.167
0.15,20000,0.0022,0.00065,0.0022,0.00065,3.385
0.175,20000,0.00295,0.00075,0.00295,0.00075,3.933
0.2,20000,0.0041,0.00075,0.0041,0.00075,5.467
0.225,20000,0.006,0.00085,0.0059,0.00085,7.059
0.25,20000,0.0083,0.0011,0.0081,0.001,7.545
0.275,20000,0.01085,0.0011,0.0105,0.001,9.864
0.3,20000,0.01355,0.0014,0.0131,0.00125,9.679
0.325,20000,0.01735,0.00185,0.01675,0.00165,9.378
0.35,20000,0.02175,0.0023,0.0209,0.00205,9.457
0.375,20000,0.02685,0.0027,0.02585,0.0024,9.944
0.4,20000,0.03245,0.00305,0.031,0.00275,10.639
0.425,20000,0.03845,0.0032,0.0364,0.0029,12.016
0.45,20000,0.046,0.0037,0.0432,0.00335,12.432
0.475,20000,0.0538,0.00435,0.05025,0.0039,12.368
0.5,20000,0.06265,0.0049,0.0576,0.0044,12.786
0.525,20000,0.07105,0.00565,0.06495,0.00495,12.575
0.55,20000,0.08245,0.00675,0.0747,0.0057,12.215
0.575,20000,0.0932,0.00745,0.08315,0.0061,12.51
0.6,20000,0.1052,0.0083,0.09295,0.00655,12.675
0.625,20000,0.1178,0.00935,0.10245,0.00715,12.599
0.65,20000,0.13395,0.0102,0.1155,0.00765,13.132
0.675,20000,0.15045,0.01105,0.128,0.0083,13.615
0.7,20000,0.1682,0.0123,0.13965,0.0092,13.675
0.725,20000,0.188,0.01355,0.15285,0.01,13.875
0.75,20000,0.2078,0.01485,0.1651,0.0108,13.993
0.775,20000,0.23065,0.01655,0.1787,0.0119,13.937
0.8,20000,0.2554,0.0183,0.1931,0.0129,13.956
0.825,20000,0.2812,0.01995,0.2069,0.0137,14.095
0.85,20000,0.30925,0.022,0.22185,0.0147,14.057
0.875,20000,0.3399,0.02435,0.2367,0.01585,13.959
0.9,20000,0.3746,0.02685,0.25455,0.0169,13.952
0.925,20000,0.4076,0.02965,0.26925,0.0179,13.747
0.95,20000,0.44575,0.032,0.28515,0.0188,13.93
0.975,20000,0.4862,0.03435,0.30065,0.01955,14.154
1.0,20000,0.52865,0.0383,0.31585,0.02105,13.803
1.025,20000,0.57545,0.0415,0.3327,0.02205,13.866
1.05,20000,0.62625,0.04555,0.35085,0.0234,13.749
1.075,20000,0.67905,0.04895,0.369,0.02445,13.872
1.1,20000,0.7351,0.05335,0.3864,0.02545,13.779
1.125,20000,0.79165,0.0576,0.40315,0.02675,13.744
1.15,20000,0.8511,0.0617,0.4209,0.02815,13.794
1.175,20000,0.9154,0.06535,0.4378,0.0287,14.008
1.2,20000,0.98275,0.07045,0.45405,0.0297,13.95
1.225,20000,1.05555,0.0747,0.4715,0.0305,14.131
1.25,20000,1.13515,0.07935,0.48905,0.0314,14.306
1.275,20000,1.225,0.0858,0.5086,0.0327,14.277
1.3,20000,1.3157,0.09175,0.52765,0.03405,14.34
1.325,20000,1.411,0.09925,0.545,0.03495,14.217
1.35,20000,1.51405,0.1065,0.56445,0.03605,14.216
1.375,20000,1.6195,0.11405,0.5825,0.03725,14.2
1.4,20000,1.7426,0.12195,0.60445,0.03845,14.289
1.425,20000,1.8738,0.13065,0.62625,0.03995,14.342
1.45,20000,2.02575,0.141,0.65035,0.04145,14.367
1.475,20000,2.20895,0.1529,0.6804,0.0434,14.447
1.5,20000,2.4837,0.17135,0.7243,0.0467,14.495
1.525,20000,2.9512,0.2054,0.7928,0.0516,14.368
1.55,20000,3.87785,0.27025,0.882,0.06025,14.349
1.575,20000,6.4896,0.5319,0.96875,0.14,12.201
1.6,20000,19.0226,40.51005,0.9997,1.0,0.47
