pdb,total_sasa,rl
seq_000001_model_0.pdb,9759.45000874229,3.89510900511
seq_000002_model_0.pdb,9521.48530782006,3.33452430601
seq_000003_model_0.pdb,8376.018839121469,3.57508184793
seq_000004_model_0.pdb,9049.956226950768,4.59371179526
seq_000005_model_0.pdb,9528.203311362697,3.72898923902
seq_000006_model_0.pdb,8485.03474978471,2.91879650541
seq_000007_model_0.pdb,9412.302118178824,3.2627323062
seq_000008_model_0.pdb,9252.694431538976,4.22413105739
seq_000009_model_0.pdb,8542.549171028828,3.55148505617
seq_000010_model_0.pdb,9193.869496617548,7.80080641844
seq_000011_model_0.pdb,8951.066239482258,3.8467870778
seq_000012_model_0.pdb,9840.233560062608,6.47664014732
seq_000013_model_0.pdb,9335.0129748289,4.84510480008
seq_000014_model_0.pdb,9564.85642360438,2.84104719554
seq_000015_model_0.pdb,9321.57604229969,3.47978678699
seq_000016_model_0.pdb,9407.951225536111,7.68407138037
seq_000017_model_0.pdb,9569.516979318283,4.96445580921
seq_000018_model_0.pdb,9702.138795792413,3.17721973945
seq_000019_model_0.pdb,9394.99650605512,3.16017328357
seq_000020_model_0.pdb,9156.117487469955,2.68916879417
seq_000021_model_0.pdb,9441.0821476758,3.69172561699
seq_000022_model_0.pdb,9256.5494552391,4.21639052216
seq_000023_model_0.pdb,8404.530349032928,2.99329899423
seq_000024_model_0.pdb,10026.361076309446,2.68643392
seq_000025_model_0.pdb,9416.836067966484,3.16700925049
seq_000026_model_0.pdb,9129.80984836088,4.093366894
seq_000027_model_0.pdb,9482.578493281915,4.6206933398
seq_000028_model_0.pdb,9571.612850996697,3.87355397855
seq_000029_model_0.pdb,8908.246235144306,3.3506465669
seq_000030_model_0.pdb,10037.071977167268,3.21512957984
seq_000031_model_0.pdb,9219.1824474394,4.78416830415
seq_000032_model_0.pdb,9272.999042737112,4.22074257665
seq_000033_model_0.pdb,9187.418490020436,2.87171442386
seq_000034_model_0.pdb,9197.07650887682,8.01886281757
seq_000035_model_0.pdb,9485.99029566135,3.98064473599
seq_000036_model_0.pdb,9316.655937285204,3.34919587057
seq_000037_model_0.pdb,9790.251593307044,7.26955911554
seq_000038_model_0.pdb,9715.438560208862,6.90970136493
seq_000039_model_0.pdb,8577.488571235723,3.74500885623
seq_000040_model_0.pdb,9051.204270522534,7.98298452223
seq_000041_model_0.pdb,9625.584428734726,4.64302074795
seq_000042_model_0.pdb,9520.465638452531,8.10778119737
seq_000043_model_0.pdb,9551.986027694931,4.60716521967
seq_000044_model_0.pdb,9066.714965347668,4.11872235449
seq_000045_model_0.pdb,9825.506611010733,4.43708443014
seq_000046_model_0.pdb,9534.123508125933,3.74493217002
seq_000047_model_0.pdb,9344.605898908749,3.50986537507
seq_000048_model_0.pdb,9795.718170064274,7.98545899101
seq_000049_model_0.pdb,9014.095712059729,4.98464254013
seq_000050_model_0.pdb,8765.134243734536,2.98636015065
seq_000051_model_0.pdb,9331.579777859257,3.04943125675
seq_000052_model_0.pdb,9245.906828954376,5.62873656047
seq_000053_model_0.pdb,10040.222401425895,5.41759885964
seq_000054_model_0.pdb,9701.37195891704,4.07301427367
seq_000055_model_0.pdb,9998.807233607442,4.03949417534
seq_000056_model_0.pdb,9828.64223524356,3.06737971959
seq_000057_model_0.pdb,8986.574833304183,4.31552386062
seq_000058_model_0.pdb,8892.243513472862,3.11555132191
seq_000059_model_0.pdb,9116.72500814895,4.34009268185
seq_000060_model_0.pdb,8889.026001618606,4.70764195027
seq_000061_model_0.pdb,9290.867659474938,5.27959592345
seq_000062_model_0.pdb,9355.080706941071,2.95815039833
seq_000063_model_0.pdb,8457.955936197677,3.58883301942
seq_000064_model_0.pdb,9373.324912109303,7.50169762438
seq_000065_model_0.pdb,9380.170345280208,4.38992859139
seq_000066_model_0.pdb,9477.061454241864,3.25154574779
seq_000067_model_0.pdb,9441.710219220144,4.49113865007
seq_000068_model_0.pdb,9295.525543185367,4.19195329564
seq_000069_model_0.pdb,8838.192949503415,5.82435468087
seq_000070_model_0.pdb,9560.233642750583,2.87781574498
seq_000071_model_0.pdb,8695.439242301378,4.27090686302
seq_000072_model_0.pdb,9567.758313658323,3.98104871327
seq_000073_model_0.pdb,8953.829420698172,3.721063575
seq_000074_model_0.pdb,9194.729818252295,3.51481361629
seq_000075_model_0.pdb,9084.699176716496,7.52401193614
seq_000076_model_0.pdb,8595.182087709067,3.87879617118
seq_000077_model_0.pdb,9179.62741348369,3.11949263828
seq_000078_model_0.pdb,9514.585538245065,2.97454506143
seq_000079_model_0.pdb,9229.261525034472,3.28626298339
seq_000080_model_0.pdb,8994.587598329832,2.88885330065
seq_000081_model_0.pdb,9654.58484719464,4.29446408748
seq_000082_model_0.pdb,7773.405495106661,4.08964362893
seq_000083_model_0.pdb,9804.263933982502,3.51018317897
seq_000084_model_0.pdb,9770.942041851316,4.60083154516
